"date","close","volume","open","high","low"
"14:51","4.38","2,168,416","4.28","4.38","4.265"
"2019/07/08","4.3000","4123905.0000","4.3800","4.3900","4.2500"
"2019/07/05","4.3900","1894100.0000","4.3400","4.4000","4.3200"
"2019/07/03","4.3600","1756349.0000","4.3200","4.3900","4.3100"
"2019/07/02","4.3000","4269187.0000","4.4000","4.4300","4.3000"
"2019/07/01","4.4000","5476838.0000","4.5000","4.5300","4.3200"
"2019/06/28","4.4000","7820579.0000","4.3700","4.4600","4.3400"
"2019/06/27","4.3400","6472001.0000","4.3600","4.3600","4.2100"
"2019/06/26","4.3200","5294163.0000","4.4300","4.4900","4.3100"
"2019/06/25","4.4000","3246796.0000","4.4400","4.5700","4.4000"
"2019/06/24","4.4200","2974822.0000","4.5000","4.5900","4.4050"
"2019/06/21","4.4800","2964521.0000","4.5600","4.5600","4.4500"
"2019/06/20","4.5600","3656758.0000","4.7000","4.7200","4.4850"
"2019/06/19","4.6400","2393853.0000","4.6200","4.6900","4.5800"
"2019/06/18","4.6100","2215839.0000","4.5800","4.6400","4.5200"
"2019/06/17","4.5400","2139295.0000","4.4800","4.5800","4.4500"
"2019/06/14","4.4600","2878466.0000","4.4900","4.4900","4.4200"
"2019/06/13","4.5100","3773490.0000","4.5400","4.5500","4.4300"
"2019/06/12","4.5200","2910383.0000","4.5100","4.5400","4.4700"
"2019/06/11","4.5400","3203756.0000","4.5000","4.5500","4.4700"
"2019/06/10","4.4500","4125609.0000","4.4800","4.5600","4.4300"
"2019/06/07","4.4600","3870500.0000","4.4100","4.4900","4.3200"
"2019/06/06","4.4300","4463684.0000","4.4700","4.4700","4.3600"
"2019/06/05","4.4700","4424660.0000","4.6000","4.6400","4.4350"
"2019/06/04","4.5800","5727626.0000","4.5900","4.6000","4.5000"
"2019/06/03","4.5100","5721326.0000","4.6200","4.6200","4.4400"
"2019/05/31","4.6300","4239597.0000","4.6400","4.7300","4.6300"
"2019/05/30","4.7000","5410660.0000","4.7500","4.7700","4.6200"
"2019/05/29","4.7400","6027882.0000","4.8200","4.8350","4.7100"
"2019/05/28","4.8800","4935228.0000","4.9100","4.9200","4.8100"
"2019/05/24","4.8900","3378906.0000","4.9100","4.9450","4.8650"
"2019/05/23","4.8600","4104131.0000","4.8700","4.9000","4.8000"
"2019/05/22","4.9400","5046824.0000","5.0100","5.0500","4.9000"
"2019/05/21","5.0400","3663551.0000","4.9800","5.0450","4.9700"
"2019/05/20","4.9200","4064644.0000","4.9200","4.9800","4.8500"
"2019/05/17","4.9100","5498174.0000","4.9900","5.0500","4.9000"
"2019/05/16","5.0400","5279456.0000","5.0800","5.1600","4.9800"
"2019/05/15","5.0800","4257310.0000","5.0500","5.1200","5.0300"
"2019/05/14","5.1100","5432044.0000","4.9700","5.1400","4.9500"
"2019/05/13","4.9200","6828196.0000","4.9500","4.9800","4.8500"
"2019/05/10","5.0300","6168391.0000","5.0000","5.0900","4.8950"
"2019/05/09","4.9900","5403121.0000","5.0300","5.0400","4.9000"
