"date","close","volume","open","high","low"

"2019/07/05","12.6100","3852507.0000","12.2500","12.7500","12.1700"
"2019/07/03","12.3000","2641346.0000","11.6300","12.4000","11.6300"
"2019/07/02","11.5900","1904052.0000","11.5100","11.7750","11.5100"
"2019/07/01","11.5500","2180682.0000","11.4700","11.7300","11.4100"
"2019/06/28","11.3300","8223034.0000","11.6500","11.7800","11.3100"
"2019/06/27","11.6200","1960410.0000","11.2300","11.6650","11.2300"
"2019/06/26","11.2000","3452844.0000","11.3300","11.4100","11.1100"
"2019/06/25","11.3000","3035818.0000","11.4900","11.5350","11.2000"
"2019/06/24","11.4800","2330403.0000","11.5700","11.7100","11.4600"
"2019/06/21","11.5500","3594622.0000","11.6700","11.7700","11.4950"
"2019/06/20","11.7200","2081609.0000","11.9000","11.9904","11.7100"
"2019/06/19","11.8600","3225125.0000","11.7000","11.8800","11.5600"
"2019/06/18","11.6500","3183051.0000","11.7800","11.8500","11.6200"
"2019/06/17","11.7100","1867087.0000","11.5700","11.7650","11.5200"
"2019/06/14","11.5500","2071236.0000","11.6400","11.7150","11.4700"
"2019/06/13","11.6500","3104404.0000","11.5600","11.7500","11.5500"
"2019/06/12","11.4900","7197070.0000","11.7200","11.7200","11.4100"
"2019/06/11","11.7300","7003582.0000","11.9300","12.0600","11.3300"
"2019/06/10","12.1200","4133958.0000","11.9000","12.1800","11.9000"
"2019/06/07","11.8500","4083624.0000","11.8500","11.9700","11.8000"
"2019/06/06","11.8500","2223615.0000","11.7800","11.9100","11.6900"
"2019/06/05","11.7800","1556208.0000","11.8100","11.8500","11.6100"
"2019/06/04","11.8100","2754506.0000","11.6900","11.8200","11.3600"
"2019/06/03","11.5800","2396878.0000","11.7900","11.8900","11.5650"
"2019/05/31","11.8400","3440208.0000","11.7200","12.0300","11.7200"
"2019/05/30","11.7100","1526604.0000","11.5800","11.8450","11.5200"
"2019/05/29","11.6200","2485107.0000","11.3200","11.6950","11.1600"
"2019/05/28","11.3900","3560769.0000","11.6900","11.8250","11.3900"
"2019/05/24","11.6500","1789932.0000","11.6200","11.6500","11.3900"
"2019/05/23","11.5300","2015759.0000","11.7600","11.8200","11.4100"
"2019/05/22","11.9400","2695718.0000","11.7700","11.9800","11.7100"
"2019/05/21","11.8000","2895047.0000","11.5000","11.8900","11.4500"
"2019/05/20","11.4400","1797591.0000","11.5400","11.5650","11.3200"
"2019/05/17","11.5200","2878405.0000","11.4700","11.8050","11.4000"
"2019/05/16","11.5500","3204809.0000","11.5300","11.6750","11.4800"
"2019/05/15","11.4800","2540448.0000","11.3100","11.5675","11.3000"
"2019/05/14","11.3900","2473500.0000","11.3200","11.4500","11.2100"
"2019/05/13","11.2800","2841751.0000","11.3300","11.5250","11.2500"
"2019/05/10","11.6200","3015847.0000","11.3800","11.6500","11.3100"
"2019/05/09","11.5000","7277517.0000","11.5800","11.5800","10.8501"
"2019/05/08","11.6600","7913701.0000","10.8600","11.7500","10.6400"
"2019/05/07","10.4500","3990404.0000","10.3600","10.4900","10.2500"
"2019/05/06","10.4500","4131522.0000","10.0400","10.5650","9.9800"
"2019/05/03","10.2400","2457830.0000","10.0000","10.2500","9.9500"
"2019/05/02","9.9700","3721031.0000","9.7100","10.0200","9.7000"
"2019/05/01","9.7100","3219015.0000","9.7400","9.8800","9.6400"
"2019/04/30","9.7200","2988328.0000","9.5300","9.8100","9.5100"
"2019/04/29","9.5500","1920305.0000","9.5500","9.6850","9.5300"
"2019/04/26","9.5200","1270988.0000","9.5400","9.6400","9.4400"
"2019/04/25","9.5300","1828143.0000","9.4700","9.6400","9.3500"
"2019/04/24","9.4800","1532106.0000","9.5100","9.6152","9.4100"
"2019/04/23","9.4900","1971298.0000","9.4800","9.5700","9.3650"
"2019/04/22","9.4700","1998909.0000","9.2600","9.4800","9.2200"
"2019/04/18","9.3000","1205729.0000","9.2100","9.3300","9.1100"
"2019/04/17","9.2200","1737044.0000","9.4200","9.4200","9.1850"
"2019/04/16","9.3700","2741171.0000","9.1500","9.4300","9.1200"
"2019/04/15","9.1100","4227600.0000","9.3600","9.4300","9.0500"
"2019/04/12","9.3500","8314694.0000","9.7100","9.7100","8.9700"
"2019/04/11","9.6900","2101037.0000","9.6400","9.8200","9.6000"
"2019/04/10","9.6400","4757810.0000","9.7800","9.8800","9.6100"
"2019/04/09","9.7800","3466592.0000","9.6900","9.9000","9.6850"
"2019/04/08","9.7500","2384336.0000","9.8200","9.8200","9.5200"
"2019/04/05","9.8200","1982006.0000","9.8200","9.9050","9.7500"
"2019/04/04","9.7800","2135103.0000","9.7900","9.9300","9.6500"
"2019/04/03","9.7900","2911553.0000","10.0500","10.1300","9.7300"
"2019/04/02","9.9900","2655687.0000","10.0500","10.0500","9.8800"
"2019/04/01","10.0600","3514303.0000","10.1000","10.1600","9.9400"
"2019/03/29","10.0400","3243028.0000","10.0000","10.1700","9.9500"
"2019/03/28","9.9600","4099746.0000","9.7000","10.0500","9.7000"
"2019/03/27","9.7200","3179834.0000","9.7200","9.8600","9.6400"
"2019/03/26","9.7200","5633440.0000","9.6100","9.8900","9.5600"
"2019/03/25","9.5500","4316222.0000","9.6000","9.6800","9.4200"
"2019/03/22","9.6000","2671741.0000","10.0600","10.0600","9.5900"
"2019/03/21","10.1000","2499287.0000","9.8000","10.1300","9.8000"
"2019/03/20","9.8400","2186437.0000","9.9600","10.0000","9.7650"
"2019/03/19","10.0000","4169928.0000","10.1500","10.1900","9.8200"
"2019/03/18","10.1800","2448124.0000","10.1800","10.4100","9.9900"
"2019/03/15","10.2100","3568371.0000","10.2100","10.3600","10.1800"
"2019/03/14","10.1500","4156904.0000","10.2000","10.3100","10.1200"
"2019/03/13","10.1700","4700825.0000","10.0300","10.2300","10.0000"
"2019/03/12","10.0200","3027747.0000","10.1000","10.1300","9.9700"
"2019/03/11","10.1800","3907699.0000","9.9100","10.3000","9.8800"
"2019/03/08","9.8800","2626180.0000","9.7700","9.9800","9.6800"
"2019/03/07","9.8100","2639762.0000","9.8100","10.0450","9.7900"
"2019/03/06","9.7700","4107903.0000","9.7000","9.8300","9.5100"
"2019/03/05","9.6800","4322524.0000","9.8700","9.9700","9.6700"
"2019/03/04","9.8900","5762163.0000","10.2400","10.2600","9.7800"
"2019/03/01","10.2600","3135375.0000","10.3500","10.4200","10.0850"
"2019/02/28","10.2800","6084111.0000","10.5700","10.6000","10.2450"
"2019/02/27","10.5500","5507685.0000","9.7800","10.6450","9.7800"
"2019/02/26","9.8300","3916122.0000","9.9800","10.0200","9.7900"
"2019/02/25","10.0000","4108261.0000","10.1400","10.2300","9.8800"
"2019/02/22","10.1300","3419038.0000","9.8300","10.2950","9.8050"
"2019/02/21","9.7500","8801988.0000","9.2500","9.8700","9.1000"
"2019/02/20","10.1900","2649444.0000","10.0100","10.2100","9.9700"
"2019/02/19","9.9800","2506282.0000","9.9300","10.0300","9.8750"
"2019/02/15","9.9800","1566678.0000","9.7800","10.0000","9.6800"
"2019/02/14","9.7000","2218391.0000","9.6500","9.7750","9.6500"
"2019/02/13","9.7300","1400462.0000","9.7500","9.8700","9.7300"
"2019/02/12","9.7300","1533125.0000","9.5300","9.8000","9.5100"
"2019/02/11","9.5000","1764729.0000","9.4600","9.5600","9.4100"
"2019/02/08","9.4200","1292295.0000","9.3000","9.4500","9.2800"
"2019/02/07","9.3800","1274816.0000","9.3200","9.5000","9.2500"
"2019/02/06","9.3800","2277317.0000","9.6100","9.6250","9.2700"
"2019/02/05","9.5900","2585692.0000","9.6300","9.7000","9.3900"
"2019/02/04","9.5900","2636936.0000","9.1700","9.6000","9.1100"
"2019/02/01","9.1300","1650404.0000","9.1800","9.1800","9.0600"
"2019/01/31","9.1100","1621428.0000","9.1300","9.1400","9.0350"
"2019/01/30","9.1000","1521700.0000","9.0300","9.1000","8.9000"
"2019/01/29","8.9900","1261844.0000","9.0400","9.1000","8.9250"
"2019/01/28","9.0600","988173.0000","9.1100","9.1700","8.9900"
"2019/01/25","9.1600","1041300.0000","9.2700","9.2800","9.1000"
"2019/01/24","9.2100","1076240.0000","9.1400","9.2200","9.0800"
"2019/01/23","9.1700","1393791.0000","9.2900","9.3700","9.0700"
"2019/01/22","9.2500","1445644.0000","9.3900","9.4700","9.1300"
"2019/01/18","9.4300","2189944.0000","9.3900","9.4750","9.3100"
"2019/01/17","9.3300","2171881.0000","9.2100","9.3600","9.2000"
"2019/01/16","9.2400","3664990.0000","9.2800","9.3800","9.1800"
"2019/01/15","9.2400","2651793.0000","9.0100","9.3000","8.9900"
"2019/01/14","9.0100","1892775.0000","9.0500","9.1600","8.9500"
"2019/01/11","9.1400","1423589.0000","9.1200","9.2300","9.0400"
"2019/01/10","9.1200","2739236.0000","9.1800","9.2600","9.0750"
"2019/01/09","9.2000","3687427.0000","9.1600","9.3250","9.1300"
"2019/01/08","9.1500","2685155.0000","9.1100","9.2500","8.9800"
"2019/01/07","8.9900","3116637.0000","9.0700","9.0700","8.8500"
"2019/01/04","9.0700","3549755.0000","8.7000","9.1200","8.6300"
"2019/01/03","8.4400","1844626.0000","8.6200","8.6900","8.4400"
"2019/01/02","8.6800","2243155.0000","8.5800","8.7100","8.4450"
"2018/12/31","8.7300","2488114.0000","8.6200","8.7700","8.4800"
"2018/12/28","8.5600","2279897.0000","8.4500","8.6900","8.4300"
"2018/12/27","8.4400","2513694.0000","8.4700","8.5400","8.1000"
"2018/12/26","8.5800","3171348.0000","8.1700","8.6000","8.1300"
"2018/12/24","8.1000","2144984.0000","8.0900","8.2700","7.9150"
"2018/12/21","8.1900","8344455.0000","8.6400","8.6700","8.1600"
"2018/12/20","8.6600","2367385.0000","8.9300","8.9600","8.5600"
"2018/12/19","8.9700","2055695.0000","9.0500","9.2700","8.8700"
"2018/12/18","9.0900","2803313.0000","9.1600","9.3417","9.0500"
"2018/12/17","9.0900","3003833.0000","9.4300","9.5300","9.0600"
"2018/12/14","9.4900","1858600.0000","9.6100","9.6950","9.4800"
"2018/12/13","9.6500","2293332.0000","10.0200","10.0900","9.6400"
"2018/12/12","9.9700","2397758.0000","10.2300","10.2400","9.9700"
"2018/12/11","10.1100","1282747.0000","10.2000","10.3450","10.0800"
"2018/12/10","10.0800","1495316.0000","10.0800","10.2500","9.9100"
"2018/12/07","10.1000","1451799.0000","10.2700","10.3700","10.0600"
"2018/12/06","10.2500","2679575.0000","9.9200","10.2700","9.7900"
"2018/12/04","10.0400","6393201.0000","10.8100","10.8800","10.0300"
"2018/12/03","10.8500","2583650.0000","10.5900","10.9400","10.4400"
"2018/11/30","10.5900","2589909.0000","10.7600","10.9450","10.5600"
"2018/11/29","10.7800","1188719.0000","10.6400","10.8100","10.5500"
"2018/11/28","10.7100","2505055.0000","10.7200","10.7500","10.4700"
